when;what;with
2012-2015;Graduate Biosciences Academic Misconduct Committee ;University of Utah
2011;Department of Pathology Faculty Retention and Promotion Committee ;University of Utah
2010;Molecular Biology Graduate Program External Review ;University of Utah
