when;what;where;with
2014;Instructor, Mechanisms of Bacterial Pathogenesis;University of Utah;
2013;Teaching assistant, Mechanisms of Bacterial Pathogenesis;University of Utah;
2011;Teaching assistant, Introduction to Medical Microbiology;University of Utah;
