when;what;with
2019;Skype a Scientist;
2017;Long Night of Science Jena;
2014-2015;Initiative to Bring Science Programs to the Incarcerated (INSPIRE);Presented interactive microbiology lectures within the Utah State Prison and Salt Lake County Jail
2014;McMillian Elementary School;
2014;University of Utah Educational Outreach Program;
2013;Explore Utah Science;
