date;degree;university;location;why;dissertation
2016;PhD;University of Utah;Salt Lake City, UT, USA;\textbf{Zebrafish reveal variable effects of  \emph{Escherichia coli} during sepsis.};\textbf{Zebrafish reveal variable effects of  \emph{Escherichia coli} during sepsis.}
;;;;Doctoral advisor: Matthew Mulvey;
2006;BS;University of Wisconsin-Madison;Madison, WI, USA;"Medical Microbiology \& Immunology; Women's Studies";"Medical Microbiology and Immunology; Women's Studies"
